mode,hyp,label,horizon,n,mean,win,t
cn_sw,H3,NE 均值 − SW 均值,1m,4511,-0.0005995886744285578,-0.03164159329437183,-0.42380120482118366
cn_sw,H3,NE 均值 − SW 均值,3m,4467,-0.007926080178972554,-0.0568186601909752,-3.0173715579995237
cn_sw,H3,NE 均值 − SW 均值,6m,4399,-0.010433584899546463,-0.044922161654873616,-2.628675917990225
cn_sw,H4a,远距且强(Ratio≥100)→应回落,1m,288,0.0022119640326329717,0.4930555555555556,0.6871823157239632
cn_sw,H4b,远距且弱(Ratio<100)→应反弹,1m,331,-0.0003198515843863247,0.47129909365558914,-0.14359390907530692
cn_sw,H4a,远距且强(Ratio≥100)→应回落,3m,286,0.0019598870099369944,0.45104895104895104,0.35201954158510246
cn_sw,H4b,远距且弱(Ratio<100)→应反弹,3m,327,-0.00206776324905922,0.41284403669724773,-0.42508591311120947
cn_sw,H4a,远距且强(Ratio≥100)→应回落,6m,281,0.015841438528298443,0.5622775800711743,2.0404156027821725
cn_sw,H4b,远距且弱(Ratio<100)→应反弹,6m,320,-0.00892017665622791,0.4,-1.1148517973435568
cn_sw,H5a,长尾(高速度)后续超额,1m,1238,0.003163815006722155,0.4894991922455573,2.292867303106621
cn_sw,H5b,短尾(低速度)后续超额,1m,1239,-0.0015911183893556448,0.47296206618240516,-1.3235337310527886
cn_sw,H5c,长尾|超额| − 短尾|超额|（波动差）,1m,2477,0.003482491942938072,,
cn_sw,H5a,长尾(高速度)后续超额,3m,1226,0.007473390235297131,0.47553017944535075,2.7894564719229638
cn_sw,H5b,短尾(低速度)后续超额,3m,1222,-0.00464473560759812,0.4533551554828151,-2.090369260443853
cn_sw,H5c,长尾|超额| − 短尾|超额|（波动差）,3m,2448,0.008615564313524664,,
cn_sw,H5a,长尾(高速度)后续超额,6m,1213,0.008340239905457451,0.494641384995878,2.0494497216961456
cn_sw,H5b,短尾(低速度)后续超额,6m,1204,-0.0062265763335452515,0.4219269102990033,-1.8437470997602867
cn_sw,H5c,长尾|超额| − 短尾|超额|（波动差）,6m,2417,0.015034367178598407,,
cn_sw,H6,动量持续>100 且 Ratio<100 → 3期内 Ratio 上穿100,3m,1411,0.1552090715804394,0.1552090715804394,
cn_sw,H6b,对照：动量未持续且 Ratio<100 → 3期内上穿,3m,1652,0.09624697336561744,0.09624697336561744,
country,H1,改善→领先 + heading 0-90°,1m,209,0.002173734071678745,0.5167464114832536,0.5443987475902581
country,H1,改善→领先 + heading 0-90°,3m,209,0.005372275809906308,0.4784688995215311,0.7608308071002358
country,H1,改善→领先 + heading 0-90°,6m,208,0.01022265995422992,0.49038461538461536,1.0443486007494673
country,H2,领先内 heading 180-270°,1m,1200,0.006713620107990022,0.5333333333333333,4.310604040904679
country,H2,领先内 heading 180-270°,3m,1190,0.01637579580392063,0.5436974789915966,5.018844629329256
country,H2,领先内 heading 180-270°,6m,1170,0.028512089132448595,0.5205128205128206,5.439883530910765
country,H3a,heading NE（0-90）,1m,5618,-0.0017249309001202548,0.45941616233535065,-2.3589094956212264
country,H3a,heading NE（0-90）,3m,5608,-0.0031729667298120326,0.43883737517831667,-2.4579050219639025
country,H3a,heading NE（0-90）,6m,5564,-0.004793657425473464,0.4309849029475198,-2.556415954778848
country,H3b,heading SW（180-270）,1m,5560,0.0010079153382568722,0.5023381294964029,1.4038961747899028
country,H3b,heading SW（180-270）,3m,5500,0.003744399643191099,0.49072727272727273,2.859181662354686
country,H3b,heading SW（180-270）,6m,5450,0.009196979270338294,0.47155963302752296,4.46658594113055
country,H3,NE 均值 − SW 均值,1m,11178,-0.0027328462383771268,-0.04292196716105223,-2.6667903796214723
country,H3,NE 均值 − SW 均值,3m,11108,-0.006917366373003131,-0.051889897548956065,-3.7616894011416684
country,H3,NE 均值 − SW 均值,6m,11014,-0.01399063669581176,-0.040574730080003174,-5.023667727702528
country,H4a,远距且强(Ratio≥100)→应回落,1m,686,5.2499205616627694e-05,0.47959183673469385,0.02415182585539888
country,H4b,远距且弱(Ratio<100)→应反弹,1m,864,0.0017429180521372019,0.5138888888888888,0.93377228796513
country,H4a,远距且强(Ratio≥100)→应回落,3m,686,0.00922949312367269,0.5233236151603499,2.389780833766598
country,H4b,远距且弱(Ratio<100)→应反弹,3m,858,0.004661027285454227,0.4813519813519814,1.4301005608597506
country,H4a,远距且强(Ratio≥100)→应回落,6m,670,0.025119223263999853,0.5149253731343284,4.025238380163655
country,H4b,远距且弱(Ratio<100)→应反弹,6m,856,-0.0017384274562703796,0.4077102803738318,-0.333623872770971
country,H5a,长尾(高速度)后续超额,1m,3095,4.002729993759344e-06,0.4936995153473344,0.004263543785345289
country,H5b,短尾(低速度)后续超额,1m,3099,0.0015193381245389847,0.48531784446595677,1.4939288467243177
country,H5c,长尾|超额| − 短尾|超额|（波动差）,1m,6194,-0.00015847219036472376,,
country,H5a,长尾(高速度)后续超额,3m,3072,0.001822216272122812,0.4830729166666667,1.1003370794675678
country,H5b,短尾(低速度)后续超额,3m,3086,0.00332811847437855,0.47861309138042774,1.7282307078807015
country,H5c,长尾|超额| − 短尾|超额|（波动差）,3m,6158,-0.0017571165790446347,,
country,H5a,长尾(高速度)后续超额,6m,3038,0.005017887653545247,0.4621461487820935,2.03807833889742
country,H5b,短尾(低速度)后续超额,6m,3066,0.004368829384718377,0.44422700587084146,1.4460414506683876
country,H5c,长尾|超额| − 短尾|超额|（波动差）,6m,6104,-0.0069256714877745235,,
country,H6,动量持续>100 且 Ratio<100 → 3期内 Ratio 上穿100,3m,3845,0.13133940182054615,0.13133940182054615,
country,H6b,对照：动量未持续且 Ratio<100 → 3期内上穿,3m,4131,0.08956669087388042,0.08956669087388042,
cross_asset,H1,改善→领先 + heading 0-90°,1m,32,-0.0013059560683977255,0.53125,-0.15974226856888032
cross_asset,H1,改善→领先 + heading 0-90°,3m,32,-0.026427659260647857,0.34375,-1.5419440741590171
cross_asset,H1,改善→领先 + heading 0-90°,6m,30,-8.585054991883112e-06,0.4666666666666667,-0.0003604841332351716
cross_asset,H2,领先内 heading 180-270°,1m,176,-0.0016430886549553244,0.4772727272727273,-0.3952774758886122
cross_asset,H2,领先内 heading 180-270°,3m,174,-0.0070458164429636275,0.4540229885057471,-1.0376824672548488
cross_asset,H2,领先内 heading 180-270°,6m,171,-0.017254928849110243,0.39766081871345027,-1.9067553558191728
cross_asset,H3a,heading NE（0-90）,1m,1083,-0.007898399877979688,0.3979686057248384,-4.581415153104592
