date,open,high,low,close,volume
2015-06-10,3695.0600,3876.8500,3676.7600,3834.7000,43364844
2015-06-11,3843.9800,3884.3700,3815.0600,3862.1400,44129787
2015-06-12,3889.1600,3922.7000,3850.5900,3899.7100,44912714
2015-06-15,3919.3600,3919.3600,3688.8900,3696.0300,47406720
2015-06-16,3636.7900,3669.8200,3475.3500,3590.6700,43314291
2015-06-17,3586.3700,3754.3700,3511.1100,3741.3600,39791390
2015-06-18,3734.9100,3752.1800,3497.7300,3504.5500,38221169
2015-06-19,3408.5300,3476.0300,3304.6500,3314.9800,36852903
2015-06-23,3314.8900,3397.2700,3154.6000,3393.9400,38158329
2015-06-24,3425.5700,3459.4600,3304.6700,3383.4000,37628646
2015-06-25,3403.6300,3408.2300,3172.3700,3206.3800,36857094
2015-06-26,3078.4000,3078.4000,2915.9400,2920.7000,35432058
2015-06-29,2943.5000,2950.1300,2663.4400,2689.7600,38531844
2015-06-30,2566.0200,2875.0900,2485.4600,2858.6100,54686572
2015-07-01,2842.1700,3008.1900,2743.6100,2759.4100,52601142
2015-07-02,2756.2500,2825.1500,2591.0500,2649.3200,45280320
2015-07-03,2559.0300,2788.7600,2458.2900,2605.2800,47079752
2015-07-06,2795.6700,2795.6700,2417.5600,2493.8300,51605868
2015-07-07,2398.1000,2415.6800,2350.9700,2352.0100,18897955
2015-07-08,2304.7600,2364.0800,2304.7600,2364.0500,44477612
2015-07-09,2338.1100,2435.7600,2338.1100,2435.7600,22948808
2015-07-10,2487.3900,2535.8900,2478.8700,2535.8900,13426827
2015-07-13,2612.7700,2683.0700,2592.2000,2683.0700,25235637
2015-07-14,2725.0400,2827.5500,2715.9800,2726.0500,40597844
2015-07-15,2750.6600,2750.6600,2583.4600,2590.0300,50649969
2015-07-16,2526.6500,2698.1600,2439.2400,2627.0800,52481075
2015-07-17,2651.4400,2805.8000,2646.5000,2783.3200,46866248
2015-07-20,2820.7200,2907.1500,2777.9100,2848.3000,57264696
2015-07-21,2802.0200,2917.4100,2779.5300,2882.9000,48846236
2015-07-22,2882.0600,2932.0600,2828.4500,2897.3700,51433160
2015-07-23,2896.2500,2969.3500,2864.4300,2967.9500,53211860
