index,date,a,b,diff_pct
55,2009-06-01,6336422402858.860352,36472000122.070312,17273.388851
56,2009-07-01,6518224875516.940430,37339999389.648438,17356.413985
57,2009-08-01,6504555535489.500000,37360000610.351562,17310.480271
58,2009-09-01,6889347373830.969727,39539999389.648438,17323.741730
59,2009-10-01,7106006079541.809570,41011999511.718750,17226.651137
60,2009-11-01,8072428586344.049805,46255999755.859375,17351.635742
61,2009-12-01,7485330265303.339844,42923999023.437508,17338.566852
62,2010-01-01,7401947624860.059570,42383999633.789055,17364.013988
63,2010-02-01,7643211810068.540039,43772000122.070312,17361.417776
64,2010-03-01,7609038459999.929688,43579998779.296883,17359.932706
65,2010-04-01,8065593916330.330078,46144000244.140633,17379.182285
66,2010-05-01,8284986656908.719727,47551998901.367195,17323.003971
67,2010-06-01,8512581502089.750000,48672000122.070312,17389.689104
68,2010-07-01,8076529221490.219727,46195999145.507805,17383.179000
69,2010-08-01,8531718911852.299805,48832000732.421883,17371.573525
70,2010-09-01,8938381777668.710938,51164001464.843750,17370.060046
71,2010-10-01,9275330508758.980469,53047998046.875000,17384.788965
72,2010-11-01,9466017969003.859375,54167999267.578125,17375.295556
73,2010-12-01,9712749389637.140625,55488000488.281250,17404.233896
74,2011-01-01,9116083198025.460938,51947998046.875000,17448.478364
75,2011-02-01,9632100784061.410156,55064001464.843750,17392.555077
76,2011-03-01,9834406849605.500000,55944000244.140633,17479.019746
77,2011-04-01,10634746541350.189453,60947998046.875000,17348.885742
78,2011-05-01,10497369840936.449219,59855999755.859375,17437.706970
79,2011-06-01,10267725095337.480469,58400000000.000000,17481.721054
80,2011-07-01,11128893517066.349609,63315997314.453125,17476.748356
81,2011-08-01,12497194120089.210938,71088000488.281250,17479.892576
82,2011-09-01,11074899457095.890625,63223999023.437508,17416.923365
83,2011-10-01,11784337703933.970703,66935998535.156250,17505.381203
84,2011-11-01,11929916508950.359375,68052001953.125000,17430.588618
85,2011-12-01,10701726641208.779297,60796002197.265625,17502.681516
86,2012-01-01,11877289883568.820312,67723999023.437508,17437.785799
87,2012-02-01,11686602423323.939453,65715997314.453125,17683.497019
88,2012-03-01,11409114987628.919922,64847998046.875000,17493.627145
89,2012-04-01,11368790267685.900391,64752001953.125000,17457.434403
90,2012-05-01,10679855196578.689453,60647998046.875000,17509.575815
91,2012-06-01,10959393367001.939453,62076000976.562492,17554.799270
92,2012-07-01,11007236057097.990234,62596002197.265625,17484.567178
93,2012-08-01,11513684938252.669922,65688000488.281250,17427.835910
94,2012-09-01,12104883894439.560547,68755999755.859375,17505.567423
95,2012-10-01,11738545748566.160156,66732000732.421883,17490.579662
96,2012-11-01,11693437093337.660156,66420001220.703125,17505.294909
97,2012-12-01,11446705672704.390625,64808001708.984375,17562.488228
98,2013-01-01,11349652857923.359375,64479998779.296883,17501.819282
99,2013-02-01,10783058546923.820312,61200000000.000000,17519.376711
100,2013-03-01,10899932071606.689453,61779998779.296883,17543.140639
101,2013-04-01,10062000860476.230469,57108001708.984375,17519.248721
102,2013-05-01,9517961294246.080078,53567999267.578125,17667.998477
103,2013-06-01,8364269496516.129883,47644000244.140633,17455.766631
104,2013-07-01,8969821092869.759766,51183999633.789055,17424.658403
105,2013-08-01,9541882639294.109375,53847998046.875000,17620.032286
106,2013-09-01,9066189773201.169922,51271997070.312492,17582.536845
107,2013-10-01,9046369063299.320312,51095999145.507805,17604.652448
108,2013-11-01,8547438152297.669922,48279998779.296883,17603.890573
109,2013-12-01,8214590056353.570312,46448001098.632805,17585.562052
110,2014-01-01,8475674117153.599609,48035998535.156250,17544.421633
111,2014-02-01,9031333122993.250000,51048001098.632805,17591.844790
112,2014-03-01,8771615662471.849609,49444000244.140633,17640.505661
113,2014-04-01,8854998302915.119141,49688000488.281250,17721.200724
114,2014-05-01,8513264802229.070312,48172000122.070312,17572.641328
115,2014-06-01,9034067157860.800781,51215997314.453125,17539.151108
116,2014-07-01,8757263022305.099609,49355999755.859375,17643.056702
117,2014-08-01,8788019037366.839844,49544000244.140633,17637.806786
118,2014-09-01,8273368051609.509766,46483999633.789055,17698.313649
119,2014-10-01,8004081886206.839844,45064001464.843750,17661.587134
120,2014-11-01,8032103866401.030273,44844000244.140633,17811.211807
121,2014-12-01,8091565996106.589844,45432000732.421883,17710.278803
122,2015-01-01,8738125612542.549805,49379998779.296883,17595.678065
123,2015-02-01,8287720691776.269531,46464001464.843750,17736.863874
124,2015-03-01,8086097926371.490234,45464001464.843750,17685.715436
125,2015-04-01,8081313991086.009766,45388000488.281250,17704.957046
126,2015-05-01,8129156681182.059570,45639999389.648438,17711.474123
127,2015-06-01,8006815921074.389648,44948001098.632805,17713.508333
128,2015-07-01,7483280364885.400391,41972000122.070312,17729.220297
129,2015-08-01,7734112420664.849609,43527999877.929688,17668.131875
130,2015-09-01,7624074400306.000000,42744000244.140633,17736.595444
131,2015-10-01,7801775820662.750000,43720001220.703125,17744.866429
132,2015-11-01,7284391634348.179688,40767999267.578125,17767.915437
133,2015-12-01,7246800949272.709961,40583999633.789055,17756.300549
134,2016-01-01,7630225770180.410156,42779998779.296883,17735.965376
135,2016-02-01,8433299496792.650391,47455999755.859375,17670.776172
136,2016-03-01,8435349397210.580078,47055999755.859375,17826.193134
137,2016-04-01,8811256247965.250000,49460000610.351562,17714.913343
138,2016-05-01,8302757466392.639648,46423999023.437508,17784.623559
139,2016-06-01,9010829112952.089844,50588000488.281250,17712.186736
140,2016-07-01,9219969848509.900391,51591998291.015625,17770.929900
141,2016-08-01,8932230407794.300781,49911999511.718750,17795.957876
142,2016-09-01,8975972462744.169922,50255999755.859375,17760.499257
143,2016-10-01,8690282922446.509766,48776000976.562492,17716.718772
144,2016-11-01,8002031985788.900391,44700000000.000000,17801.637552
145,2016-12-01,7859870515779.379883,43844000244.140633,17826.900994
146,2017-01-01,8260382011721.379883,46220001220.703125,17771.877528
147,2017-02-01,8561107492325.110352,47692001342.773438,17850.824564
148,2017-03-01,8524884241838.570312,47488000488.281250,17851.659691
149,2017-04-01,8653375537510.349609,48307998657.226562,17812.924936
150,2017-05-01,8693700257453.370117,48248001098.632805,17918.778104
151,2017-06-01,8479774752299.769531,47207998657.226562,17862.580481
152,2017-07-01,8656792872517.209961,48300000000.000000,17822.966610
153,2017-08-01,8995792338335.720703,50327999877.929688,17774.329121
154,2017-09-01,8758629622583.719727,48632000732.421883,17910.012935
155,2017-10-01,8659526907384.759766,48267999267.578125,17840.513464
156,2017-11-01,8701901527745.709961,48439999389.648438,17864.289095
157,2017-12-01,8928129772648.119141,49460000610.351562,17951.212419
158,2018-01-01,9151623148372.689453,51060000610.351562,17823.272697
159,2018-02-01,8991008403050.240234,50000000000.000000,17882.016806
160,2018-03-01,9040901827874.529297,50316000366.210938,17868.244221
161,2018-04-01,8995792338335.720703,49835998535.156250,17950.791803
162,2018-05-01,8885754317976.869141,49239999389.648438,17945.805094
163,2018-06-01,8552222921893.459961,47460000610.351562,17919.854218
164,2018-07-01,8363585362066.509766,46395999145.507805,17926.522795
165,2018-08-01,8203654751193.679688,45404000854.492188,17968.131876
166,2018-09-01,8143509321348.809570,45104000854.492188,17954.960019
167,2018-10-01,8285670791358.330078,46060000610.351562,17888.863833
168,2018-11-01,8339664017018.490234,46216000366.210938,17944.971332
169,2018-12-01,8736759012263.929688,48500000000.000000,17913.936108
170,2019-01-01,9019713683383.750000,49900000000.000000,17975.578524
171,2019-02-01,8972555127737.310547,49595999145.507805,17991.288173
172,2019-03-01,8837228327741.509766,48804000854.492188,18007.589896
173,2019-04-01,8767515027325.679688,48479998779.296883,17984.808680
174,2019-05-01,8924712437641.269531,49332000732.421883,17991.122000
175,2019-06-01,9634833984618.650391,53279998779.296883,17983.397533
176,2019-07-01,9746922739705.740234,53284002685.546883,18192.399686
177,2019-08-01,10382547050981.810547,57500000000.000000,17956.603567
178,2019-09-01,10017575505387.039062,55547998046.875000,17934.089180
179,2019-10-01,10329920425600.279297,56971997070.312492,18031.575084
