index,date,a,b,diff_pct
79,2021-04-01,1023619307987.500000,1048639564639.415649,-2.385973
80,2021-05-01,731376237125.000000,677897664827.659302,7.888886
81,2021-06-01,605124705087.500000,636278702965.115723,-4.896282
82,2021-07-01,753983523475.000000,755857012374.109619,-0.247863
83,2021-08-01,918084388665.619995,856462408579.231323,7.194943
84,2021-09-01,798725554068.640015,795164065826.616821,0.447894
85,2021-10-01,1168978469803.129883,1113442228279.243896,4.987797
86,2021-11-01,1083150700406.250000,1035116241026.974365,4.640489
87,2021-12-01,958766598261.880005,840841954082.236816,14.024591
88,2022-01-01,721537505193.750000,698784495458.911133,3.256084
89,2022-02-01,730010591531.250000,784311629837.048584,-6.923401
90,2022-03-01,893054361137.500000,826900637088.794556,8.000202
91,2022-04-01,731126084325.000000,684834454015.127319,6.759536
92,2022-05-01,561958710705.459961,577291311060.914795,-2.655956
93,2022-06-01,381164905687.500000,359255132444.911377,6.098667
94,2022-07-01,454219329900.000000,423756164173.539062,7.188843
95,2022-08-01,383722134962.500000,364067730765.668823,5.398557
96,2022-09-01,366772185600.000000,352846420759.827881,3.946693
97,2022-10-01,397747960500.000000,372166467784.609253,6.873669
98,2022-11-01,317452920443.750000,311750358473.856201,1.829208
99,2022-12-01,319691320437.500000,300472836054.228882,6.396080
100,2023-01-01,445609669781.250000,420167861585.475769,6.055153
101,2023-02-01,445067523750.000000,420314403979.018555,5.889191
102,2023-03-01,551936629687.500000,517118174145.651123,6.733172
103,2023-04-01,566960669662.500000,531469008326.469604,6.678030
104,2023-05-01,544995045000.000000,494260149715.874573,10.264816
105,2023-06-01,596409045725.000000,553412206753.962158,7.769406
106,2023-07-01,568120872768.750000,530766370886.762329,7.037843
107,2023-08-01,532264728187.500000,470869011718.882080,13.038810
108,2023-09-01,528482582756.250000,489688963319.813660,7.922094
109,2023-10-01,665785906931.250000,629504699253.533936,5.763453
110,2023-11-01,738053387400.000000,684795796897.760132,7.777149
111,2023-12-01,823527699375.000000,767459963884.527954,7.305624
112,2024-01-01,822080620725.000000,773223704618.747559,6.318600
113,2024-02-01,1105671829375.000000,1111252816826.443115,-0.502225
114,2024-03-01,1363666173337.500000,1295291053744.772217,5.278746
115,2024-04-01,1262161650937.500000,1101056487874.760254,14.631871
116,2024-05-01,1333612220859.379883,1225522972042.227051,8.819847
117,2024-06-01,1216389925312.500000,1138125329696.946045,6.876624
118,2024-07-01,1306624450737.500000,1173369626509.885498,11.356594
119,2024-08-01,1169651897700.000000,1070787539393.218750,9.232864
120,2024-09-01,1304440646662.500000,1149950080851.415039,13.434545
121,2024-10-01,1358590705062.500000,1274981810098.331299,6.557654
122,2024-11-01,1803702957750.000000,1751341763884.653809,2.989776
123,2024-12-01,1875719525771.879883,1696506678364.380615,10.563639
124,2025-01-01,2064139696500.000000,1859491468929.080322,11.005602
125,2025-02-01,1831772130437.500000,1532062422025.461426,19.562500
126,2025-03-01,1642960074415.620117,1498940152699.269531,9.608117
127,2025-04-01,1892409517818.750000,1710635748366.393555,10.626094
128,2025-05-01,2138163985000.000000,1900040018758.248047,12.532576
129,2025-06-01,2148177562781.250000,1945385455804.508789,10.424264
130,2025-07-01,2364554351437.500000,2101961250962.162842,12.492766
131,2025-08-01,2223497443875.000000,1965384449485.143311,13.132952
132,2025-09-01,2187352829906.250000,2071053857134.890869,5.615449
133,2025-10-01,2242076790750.000000,1989343350594.000732,12.704365
134,2025-11-01,1755917041887.500000,1641398510455.365479,6.976888
135,2025-12-01,1746131366718.750000,1589003291950.139160,9.888468
136,2026-01-01,1752429439415.620117,1427618409531.011719,22.751950
137,2026-02-01,1314547020375.000000,1216524588145.987061,8.057579
138,2026-03-01,1336282334081.250000,1238994516396.542725,7.852159
139,2026-04-01,1522550408006.250000,1385549535566.705078,9.887836
140,2026-05-01,1482281312625.000000,1336075092802.672607,10.942964
141,2026-06-01,1211601703309.379883,1063323807591.215820,13.944755
142,2026-07-01,1294653492281.250000,1140584915388.374756,13.507857
143,2026-08-01,1304252386200.000000,1163591645591.656738,12.088497
