index,date,a,b,diff_pct
201,1962-07-01,525874000000.000000,525874000000.000000,0.000000
202,1962-08-01,525874000000.000000,525874000000.000000,0.000000
203,1962-09-01,525874000000.000000,525874000000.000000,0.000000
204,1962-10-01,533162000000.000000,533162000000.000000,0.000000
205,1962-11-01,533162000000.000000,533162000000.000000,0.000000
206,1962-12-01,533162000000.000000,533162000000.000000,0.000000
207,1963-01-01,539625000000.000000,539625000000.000000,0.000000
208,1963-02-01,539625000000.000000,539625000000.000000,0.000000
209,1963-03-01,539625000000.000000,539625000000.000000,0.000000
210,1963-04-01,540004000000.000000,540004000000.000000,0.000000
211,1963-05-01,540004000000.000000,540004000000.000000,0.000000
212,1963-06-01,540004000000.000000,540004000000.000000,0.000000
213,1963-07-01,549322000000.000000,549322000000.000000,0.000000
214,1963-08-01,549322000000.000000,549322000000.000000,0.000000
215,1963-09-01,549322000000.000000,549322000000.000000,0.000000
216,1963-10-01,553248000000.000000,553248000000.000000,0.000000
217,1963-11-01,553248000000.000000,553248000000.000000,0.000000
218,1963-12-01,553248000000.000000,553248000000.000000,0.000000
219,1964-01-01,553844000000.000000,553844000000.000000,0.000000
220,1964-02-01,553844000000.000000,553844000000.000000,0.000000
221,1964-03-01,553844000000.000000,553844000000.000000,0.000000
222,1964-04-01,565045000000.000000,565045000000.000000,0.000000
223,1964-05-01,565045000000.000000,565045000000.000000,0.000000
224,1964-06-01,565045000000.000000,565045000000.000000,0.000000
225,1964-07-01,569664000000.000000,569664000000.000000,0.000000
226,1964-08-01,569664000000.000000,569664000000.000000,0.000000
227,1964-09-01,569664000000.000000,569664000000.000000,0.000000
228,1964-10-01,579830000000.000000,579830000000.000000,0.000000
229,1964-11-01,579830000000.000000,579830000000.000000,0.000000
230,1964-12-01,579830000000.000000,579830000000.000000,0.000000
231,1965-01-01,585435000000.000000,585435000000.000000,0.000000
232,1965-02-01,585435000000.000000,585435000000.000000,0.000000
233,1965-03-01,585435000000.000000,585435000000.000000,0.000000
234,1965-04-01,589142000000.000000,589142000000.000000,0.000000
235,1965-05-01,589142000000.000000,589142000000.000000,0.000000
236,1965-06-01,589142000000.000000,589142000000.000000,0.000000
237,1965-07-01,593543000000.000000,593543000000.000000,0.000000
238,1965-08-01,593543000000.000000,593543000000.000000,0.000000
239,1965-09-01,593543000000.000000,593543000000.000000,0.000000
240,1965-10-01,605593000000.000000,605593000000.000000,0.000000
241,1965-11-01,605593000000.000000,605593000000.000000,0.000000
242,1965-12-01,605593000000.000000,605593000000.000000,0.000000
243,1966-01-01,604127000000.000000,604127000000.000000,0.000000
244,1966-02-01,604127000000.000000,604127000000.000000,0.000000
245,1966-03-01,604127000000.000000,604127000000.000000,0.000000
246,1966-04-01,630518000000.000000,630518000000.000000,0.000000
